date,close,price_signal
2018-03-14,1185.4244384765625,HOLD
2018-03-15,1178.3616943359375,HOLD
2018-03-16,1160.2940673828125,HOLD
2018-03-19,1162.4705810546875,HOLD
2018-03-20,1176.3697509765625,HOLD
2018-03-21,1173.0438232421875,HOLD
2018-03-22,1162.6143798828125,SELL
2018-03-23,1157.1937255859375,SELL
2018-03-26,1156.7216796875,SELL
2018-03-27,1169.3280029296875,SELL
2018-03-28,1169.923095703125,SELL
2018-04-02,1194.76611328125,SELL
2018-04-03,1195.422607421875,SELL
2018-04-04,1195.279052734375,HOLD
2018-04-05,1214.5989990234375,HOLD
2018-04-06,1211.4578857421875,HOLD
2018-04-09,1200.6171875,HOLD
2018-04-10,1206.2427978515625,HOLD
2018-04-11,1237.6761474609375,HOLD
2018-04-12,1289.0445556640625,HOLD
2018-04-13,1294.81396484375,HOLD
2018-04-16,1308.9183349609375,HOLD
2018-04-17,1300.2752685546875,HOLD
2018-04-18,1297.1953125,HOLD
2018-04-19,1310.3558349609375,HOLD
2018-04-20,1397.1202392578125,BUY
2018-04-23,1399.666259765625,BUY
2018-04-24,1390.2216796875,BUY
2018-04-25,1424.9603271484375,BUY
2018-04-26,1453.2935791015625,BUY
2018-04-27,1417.44580078125,BUY
2018-04-30,1450.3572998046875,BUY
2018-05-02,1437.0738525390625,BUY
2018-05-03,1429.7237548828125,BUY
2018-05-04,1429.27197265625,BUY
2018-05-07,1404.71630859375,BUY
2018-05-08,1413.031982421875,BUY
2018-05-09,1432.7828369140625,BUY
2018-05-10,1417.15869140625,BUY
2018-05-11,1419.4990234375,BUY
2018-05-14,1409.8905029296875,BUY
2018-05-15,1429.9495849609375,BUY
2018-05-16,1434.6717529296875,BUY
2018-05-17,1433.8092041015625,BUY
2018-05-18,1438.0185546875,BUY
2018-05-21,1460.479248046875,BUY
2018-05-22,1440.8310546875,BUY
2018-05-23,1435.1644287109375,BUY
2018-05-24,1479.7579345703125,BUY
2018-05-25,1472.407958984375,BUY
2018-05-28,1438.0185546875,BUY
2018-05-29,1446.826416015625,BUY
2018-05-30,1442.96630859375,BUY
2018-05-31,1441.724365234375,BUY
2018-06-01,1434.6026611328125,HOLD
2018-06-04,1444.373779296875,BUY
2018-06-05,1425.618408203125,HOLD
2018-06-06,1429.054443359375,HOLD
2018-06-07,1437.16943359375,HOLD
2018-06-08,1446.73388671875,BUY
2018-06-11,1448.886962890625,BUY
2018-06-12,1474.8055419921875,BUY
2018-06-13,1510.495849609375,BUY
2018-06-14,1480.229736328125,BUY
2018-06-15,1523.7039794921875,BUY
2018-06-18,1514.553466796875,BUY
2018-06-19,1510.8270263671875,BUY
2018-06-20,1509.1295166015625,BUY
2018-06-21,1506.5623779296875,BUY
2018-06-22,1498.654541015625,BUY
2018-06-25,1506.4796142578125,BUY
2018-06-26,1533.59912109375,BUY
2018-06-27,1538.5677490234375,BUY
2018-06-28,1525.898193359375,BUY
2018-06-29,1530.080078125,BUY
2018-07-02,1533.060791015625,BUY
2018-07-03,1551.8582763671875,BUY
2018-07-04,1545.31640625,BUY
2018-07-05,1557.0340576171875,BUY
2018-07-06,1584.070556640625,BUY
2018-07-09,1559.269775390625,BUY
2018-07-10,1552.727783203125,BUY
2018-07-11,1639.5103759765625,BUY
2018-07-12,1632.430419921875,BUY
2018-07-13,1640.504150390625,BUY
2018-07-16,1647.2113037109375,BUY
2018-07-17,1661.2757568359375,BUY
2018-07-18,1659.6990966796875,BUY
2018-07-19,1644.0579833984375,BUY
2018-07-20,1656.6707763671875,BUY
2018-07-23,1664.1800537109375,BUY
2018-07-24,1658.6617431640625,BUY
2018-07-25,1644.14111328125,BUY
2018-07-26,1630.2015380859375,BUY
2018-07-27,1612.818603515625,HOLD
2018-07-30,1613.5238037109375,HOLD
2018-07-31,1609.8726806640625,HOLD
2018-08-01,1639.99267578125,BUY
2018-08-02,1616.676513671875,HOLD
2018-08-03,1642.4405517578125,BUY
2018-08-06,1639.204345703125,BUY
2018-08-07,1632.4007568359375,HOLD
2018-08-08,1637.918212890625,HOLD
2018-08-09,1638.2088623046875,HOLD
2018-08-10,1653.7662353515625,BUY
2018-08-13,1659.616455078125,BUY
2018-08-14,1662.437255859375,BUY
2018-08-16,1666.5445556640625,BUY
2018-08-17,1670.0711669921875,BUY
2018-08-20,1667.7476806640625,BUY
2018-08-21,1674.136962890625,BUY
2018-08-23,1688.61572265625,BUY
2018-08-24,1695.1708984375,BUY
2018-08-27,1701.7255859375,BUY
2018-08-28,1716.91015625,BUY
2018-08-29,1719.2333984375,BUY
2018-08-30,1727.8621826171875,BUY
2018-08-31,1724.5435791015625,BUY
2018-09-03,1703.3851318359375,BUY
2018-09-04,1741.5535888671875,BUY
2018-09-05,1725.248779296875,BUY
2018-09-06,1721.9718017578125,BUY
2018-09-07,1725.746826171875,BUY
2018-09-10,1726.4937744140625,BUY
2018-09-11,1697.8670654296875,HOLD
2018-09-12,1695.9588623046875,HOLD
2018-09-14,1713.7572021484375,BUY
2018-09-17,1721.0177001953125,BUY
2018-09-18,1718.196533203125,BUY
2018-09-19,1724.1285400390625,BUY
2018-09-21,1745.0802001953125,BUY
2018-09-24,1824.1549072265625,BUY
2018-09-25,1811.5010986328125,BUY
2018-09-26,1777.440185546875,BUY
2018-09-27,1816.189208984375,BUY
2018-09-28,1811.915771484375,BUY
2018-10-01,1871.5330810546875,BUY
2018-10-03,1794.6163330078125,BUY
2018-10-04,1713.25927734375,HOLD
2018-10-05,1744.6650390625,HOLD
2018-10-08,1723.8387451171875,HOLD
2018-10-09,1735.662353515625,HOLD
2018-10-10,1695.668701171875,HOLD
2018-10-11,1642.8553466796875,HOLD
2018-10-12,1591.70166015625,HOLD
2018-10-15,1617.58935546875,HOLD
2018-10-16,1628.21044921875,HOLD
2018-10-17,1600.91162109375,HOLD
2018-10-19,1587.4700927734375,HOLD
2018-10-22,1579.0062255859375,HOLD
2018-10-23,1532.9832763671875,HOLD
2018-10-24,1537.01611328125,SELL
2018-10-25,1540.757568359375,SELL
2018-10-26,1495.940185546875,SELL
2018-10-29,1555.7244873046875,SELL
2018-10-30,1575.5140380859375,SELL
2018-10-31,1611.559814453125,SELL
2018-11-01,1609.564208984375,SELL
2018-11-02,1591.021484375,SELL
2018-11-05,1572.2298583984375,SELL
2018-11-06,1607.0274658203125,HOLD
2018-11-07,1614.8853759765625,HOLD
2018-11-09,1587.4874267578125,HOLD
2018-11-12,1592.185302734375,HOLD
2018-11-13,1608.8985595703125,HOLD
